epoch,trusted,acc,macroF1,weightedF1,loss_total,loss_ce,loss_pu
1,60,0.6048,0.5870,0.5897,0.6927,0.0000,0.6927
1,60,0.6048,0.5875,0.5902,0.6927,0.0000,0.6927
1,60,0.6587,0.6564,0.6573,0.6909,0.0000,0.6909
2,120,0.4874,0.3401,0.3301,1.2038,0.5917,0.6121
3,180,0.7283,0.7283,0.7283,0.9380,0.4295,0.5085
1,60,0.6396,0.6254,0.6278,0.6910,0.0000,0.6910
2,120,0.5031,0.3761,0.3670,1.2200,0.5912,0.6287
3,180,0.7229,0.7219,0.7214,0.9183,0.4135,0.5048
1,60,0.6444,0.6317,0.6339,0.6910,0.0000,0.6910
2,120,0.5024,0.3776,0.3686,1.2182,0.5982,0.6200
3,180,0.7768,0.7768,0.7768,1.0096,0.4724,0.5372
4,240,0.7754,0.7717,0.7727,0.5506,0.2820,0.2687
5,300,0.7693,0.7673,0.7666,0.4009,0.1777,0.2232
6,360,0.7597,0.7547,0.7559,0.4739,0.1299,0.3440
7,420,0.5843,0.5443,0.5400,0.2390,0.1352,0.1038
8,480,0.7611,0.7522,0.7537,0.4053,0.3910,0.0144
9,540,0.6314,0.5932,0.5892,0.5605,0.2901,0.2704
10,600,0.7904,0.7828,0.7842,0.4230,0.2682,0.1548
11,660,0.8382,0.8379,0.8376,0.3062,0.1801,0.1261
12,720,0.8198,0.8196,0.8198,0.2193,0.2093,0.0101
13,780,0.7898,0.7872,0.7864,0.1204,0.1139,0.0065
14,840,0.8253,0.8252,0.8253,0.2425,0.2411,0.0014
15,900,0.8198,0.8192,0.8189,0.3082,0.2402,0.0680
16,960,0.8068,0.8037,0.8045,0.2184,0.2092,0.0091
17,1020,0.6737,0.6273,0.6315,0.4467,0.2708,0.1759
18,1080,0.8137,0.8124,0.8118,0.2130,0.1629,0.0501
19,1140,0.8328,0.8322,0.8325,0.2067,0.2005,0.0063
20,1200,0.8225,0.8215,0.8211,0.3155,0.1425,0.1729
21,1260,0.7959,0.7939,0.7932,0.3495,0.3485,0.0010
22,1320,0.8512,0.8510,0.8509,0.1068,0.1030,0.0038
23,1380,0.8451,0.8450,0.8451,0.1566,0.1560,0.0006
24,1440,0.8416,0.8410,0.8406,0.2669,0.2664,0.0005
25,1500,0.8328,0.8322,0.8325,0.2442,0.2216,0.0226
26,1560,0.8218,0.8218,0.8218,0.1106,0.1005,0.0102
27,1620,0.7884,0.7838,0.7828,0.2605,0.2590,0.0015
28,1680,0.8287,0.8268,0.8274,0.0882,0.0683,0.0199
29,1740,0.8253,0.8248,0.8251,0.1559,0.0345,0.1214
30,1800,0.8116,0.8093,0.8086,0.2115,0.2056,0.0059
